Date,S&P 500,S&P 493,Mag 7,Alpha Picks,RSP Equal Weight
01/01/24,"$10,000,000","$10,000,000","$10,000,000","$10,000,000","$10,000,000"
01/02/24,"$10,000,000","$10,000,000","$10,000,000","$9,943,705.56","$10,000,000"
01/03/24,"$9,920,255","$9,915,203","$9,939,387","$9,783,393.70","$9,854,775"
01/04/24,"$9,887,567","$9,905,994","$9,827,916","$9,811,531.67","$9,841,610"
01/05/24,"$9,905,707","$9,923,537","$9,826,889","$9,822,329.63","$9,869,959"
01/08/24,"$10,045,734","$10,016,407","$10,044,297","$10,011,346.27","$9,976,086"
01/09/24,"$10,032,360","$9,979,013","$10,074,153","$10,029,142.39","$9,928,955"
01/10/24,"$10,089,361","$10,000,460","$10,206,899","$10,036,624.05","$9,944,541"
01/11/24,"$10,082,752","$9,987,821","$10,204,073","$10,099,404.93","$9,914,053"
01/12/24,"$10,091,218","$9,992,634","$10,226,179","$10,118,377.71","$9,895,763"
01/16/24,"$10,053,466","$9,942,035","$10,181,855","$10,033,994.97","$9,829,065"
01/17/24,"$9,997,021","$9,886,390","$10,125,577","$10,018,304.39","$9,750,243"
01/18/24,"$10,085,838","$9,940,747","$10,295,262","$10,159,341.20","$9,801,534"
01/19/24,"$10,210,599","$10,043,059","$10,446,793","$10,517,315.36","$9,880,319"
01/22/24,"$10,233,071","$10,074,208","$10,443,669","$10,695,050.46","$9,931,267"
01/23/24,"$10,263,125","$10,091,468","$10,512,247","$10,620,128.23","$9,936,654"
01/24/24,"$10,271,462","$10,072,933","$10,567,974","$10,558,778.75","$9,882,956"
01/25/24,"$10,326,316","$10,148,193","$10,560,262","$10,706,885.89","$9,980,915"
01/26/24,"$10,319,543","$10,149,004","$10,544,929","$10,714,903.75","$9,982,498"
01/29/24,"$10,397,264","$10,207,415","$10,650,940","$10,959,064.89","$10,045,433"
01/30/24,"$10,391,756","$10,233,713","$10,546,370","$11,067,409.54","$10,050,523"
01/31/24,"$10,224,701","$10,127,467","$10,213,672","$11,098,761.53","$9,918,412"
02/01/24,"$10,352,878","$10,239,787","$10,363,057","$11,364,699.55","$10,036,133"
02/02/24,"$10,463,829","$10,245,814","$10,714,089","$11,424,198.52","$10,028,201"
02/05/24,"$10,430,718","$10,195,201","$10,654,725","$11,543,590.44","$9,941,889"
02/06/24,"$10,455,028","$10,231,249","$10,669,806","$11,486,907.58","$9,999,020"
02/07/24,"$10,540,198","$10,286,969","$10,807,709","$11,528,134.12","$10,037,386"
02/08/24,"$10,547,946","$10,304,105","$10,795,920","$11,702,654.44","$10,061,944"
02/09/24,"$10,609,443","$10,319,231","$10,944,250","$11,870,953.58","$10,077,453"
02/12/24,"$10,599,751","$10,345,529","$10,830,954","$12,044,560.66","$10,141,786"
02/13/24,"$10,456,030","$10,212,723","$10,641,630","$11,865,008.20","$9,970,457"
02/14/24,"$10,558,085","$10,301,368","$10,734,585","$12,367,542.36","$10,069,568"
02/15/24,"$10,621,938","$10,404,966","$10,716,003","$12,784,299.58","$10,188,293"
02/16/24,"$10,572,682","$10,371,526","$10,621,869","$12,156,172.02","$10,144,326"
02/20/24,"$10,509,720","$10,330,849","$10,556,363","$11,916,818.45","$10,113,416"
02/21/24,"$10,523,578","$10,356,460","$10,584,413","$11,831,081.95","$10,141,115"
02/22/24,"$10,745,982","$10,491,838","$10,832,085","$12,589,405.62","$10,246,377"
02/23/24,"$10,749,762","$10,513,180","$10,778,668","$12,410,335.48","$10,270,110"
02/26/24,"$10,709,347","$10,487,497","$10,680,204","$12,715,787.03","$10,226,592"
02/27/24,"$10,727,753","$10,503,388","$10,717,081","$12,797,356.34","$10,271,181"
02/28/24,"$10,710,788","$10,506,229","$10,666,122","$12,532,070.75","$10,274,060"
02/29/24,"$10,768,947","$10,537,537","$10,774,432","$12,843,725.32","$10,329,111"
03/01/24,"$10,855,707","$10,619,906","$10,806,197","$13,085,627.11","$10,389,991"
03/04/24,"$10,842,871","$10,633,875","$10,644,217","$13,461,889.10","$10,415,519"
03/05/24,"$10,732,702","$10,559,946","$10,404,570","$13,264,906.46","$10,360,496"
03/06/24,"$10,788,772","$10,626,906","$10,374,502","$13,398,872.13","$10,424,975"
03/07/24,"$10,901,310","$10,694,914","$10,538,617","$13,508,266.65","$10,507,657"
03/08/24,"$10,831,059","$10,651,088","$10,504,591","$13,311,202.72","$10,490,615"
03/11/24,"$10,819,166","$10,661,255","$10,470,117","$12,985,126.97","$10,505,865"
03/12/24,"$10,940,269","$10,718,529","$10,647,978","$13,278,544.51","$10,533,918"
03/13/24,"$10,919,738","$10,713,272","$10,605,507","$13,429,819.35","$10,535,941"
03/14/24,"$10,890,936","$10,652,930","$10,731,630","$13,190,207.35","$10,439,306"
03/15/24,"$10,820,643","$10,610,183","$10,583,692","$13,095,759.93","$10,422,641"
03/18/24,"$10,889,998","$10,648,972","$10,736,609","$12,999,253.28","$10,454,325"
03/19/24,"$10,952,632","$10,704,962","$10,802,161","$12,932,719.69","$10,516,184"
03/20/24,"$11,051,180","$10,783,436","$10,943,882","$13,127,075.36","$10,607,035"
03/21/24,"$11,085,678","$10,851,777","$10,854,936","$13,421,787.70","$10,685,019"
03/22/24,"$11,071,026","$10,790,238","$10,910,151","$13,358,950.46","$10,619,638"
03/25/24,"$11,036,153","$10,762,143","$10,837,570","$13,322,484.35","$10,594,651"
03/26/24,"$11,005,131","$10,753,367","$10,797,122","$13,219,893.38","$10,579,032"
03/27/24,"$11,101,876","$10,884,095","$10,860,907","$13,280,315.89","$10,746,246"
03/28/24,"$11,114,889","$10,921,902","$10,806,098","$13,364,446.35","$10,793,176"
04/01/24,"$11,092,439","$10,865,661","$10,878,755","$13,343,832.43","$10,728,409"
04/02/24,"$11,013,249","$10,785,403","$10,813,864","$13,172,897.68","$10,633,150"
04/03/24,"$11,026,069","$10,788,671","$10,863,458","$13,332,716.31","$10,647,522"
04/04/24,"$10,893,473","$10,661,026","$10,770,661","$13,084,274.18","$10,535,317"
04/05/24,"$11,014,272","$10,754,233","$10,931,879","$13,246,915.21","$10,609,422"
04/08/24,"$11,009,878","$10,755,363","$10,936,618","$13,195,321.06","$10,633,577"
04/09/24,"$11,027,733","$10,774,749","$10,993,402","$12,962,596.80","$10,674,983"
04/10/24,"$10,923,469","$10,635,838","$10,936,799","$12,823,104.55","$10,503,970"
04/11/24,"$11,004,406","$10,639,008","$11,167,000","$12,958,534.03","$10,494,776"
04/12/24,"$10,846,761","$10,476,259","$11,058,492","$12,717,968.34","$10,329,090"
04/15/24,"$10,717,221","$10,395,043","$10,827,132","$12,517,896.03","$10,236,300"
04/16/24,"$10,694,096","$10,371,562","$10,768,333","$12,690,718.53","$10,182,808"
04/17/24,"$10,632,516","$10,340,470","$10,694,163","$12,472,200.19","$10,153,657"
04/18/24,"$10,610,011","$10,333,196","$10,614,075","$12,333,746.09","$10,144,871"
04/19/24,"$10,521,181","$10,349,736","$10,407,910","$11,984,956.01","$10,173,490"
04/22/24,"$10,612,529","$10,426,594","$10,478,050","$12,165,464.80","$10,255,080"
04/23/24,"$10,737,817","$10,523,785","$10,632,582","$12,463,819.65","$10,345,203"
04/24/24,"$10,740,069","$10,527,286","$10,695,016","$12,485,523.24","$10,359,070"
04/25/24,"$10,689,537","$10,505,008","$10,484,966","$12,538,163.15","$10,329,412"
04/26/24,"$10,796,615","$10,515,124","$10,771,483","$12,794,107.87","$10,344,059"
04/29/24,"$10,830,289","$10,553,372","$10,799,259","$12,852,683.23","$10,412,921"
04/30/24,"$10,661,741","$10,425,764","$10,526,079","$12,449,058.57","$10,259,264"
05/01/24,"$10,626,930","$10,376,437","$10,603,167","$12,332,541.86","$10,223,645"
05/02/24,"$10,723,352","$10,427,703","$10,775,950","$12,499,078.28","$10,286,138"
05/03/24,"$10,857,175","$10,495,196","$11,048,593","$12,649,223.38","$10,356,562"
05/06/24,"$10,967,961","$10,583,882","$11,156,237","$12,902,184.52","$10,439,215"
05/07/24,"$10,983,829","$10,621,371","$11,152,909","$12,967,799.26","$10,466,946"
05/08/24,"$10,983,403","$10,629,377","$11,140,402","$12,987,502.76","$10,460,769"
05/09/24,"$11,040,680","$10,701,914","$11,194,640","$13,146,997.30","$10,547,176"
05/10/24,"$11,060,521","$10,735,053","$11,155,918","$13,080,701.05","$10,566,289"
05/13/24,"$11,059,281","$10,719,678","$11,186,272","$12,999,981.47","$10,560,421"
05/14/24,"$11,113,113","$10,759,263","$11,268,075","$13,149,874.52","$10,605,105"
05/15/24,"$11,242,752","$10,870,723","$11,389,048","$13,574,901.13","$10,689,495"
05/16/24,"$11,223,073","$10,854,183","$11,354,554","$13,337,936.27","$10,668,766"
05/17/24,"$11,236,322","$10,878,450","$11,379,254","$13,335,733.03","$10,683,531"
05/20/24,"$11,247,953","$10,860,286","$11,427,183","$13,466,477.02","$10,678,068"
05/21/24,"$11,276,125","$10,867,217","$11,506,025","$13,509,082.89","$10,671,596"
05/22/24,"$11,246,580","$10,842,254","$11,466,830","$13,344,739.18","$10,638,532"
05/23/24,"$11,164,735","$10,707,479","$11,330,042","$13,191,958.32","$10,495,189"
05/24/24,"$11,240,073","$10,744,896","$11,461,433","$13,542,482.37","$10,562,373"
05/28/24,"$11,241,996","$10,674,700","$11,507,850","$13,482,781.17","$10,482,512"
05/29/24,"$11,160,956","$10,561,607","$11,484,710","$13,381,337.59","$10,364,041"
05/30/24,"$11,095,523","$10,567,835","$11,304,702","$13,361,882.82","$10,406,270"
05/31/24,"$11,186,093","$10,703,976","$11,295,735","$13,265,247.75","$10,538,920"
06/03/24,"$11,201,735","$10,660,397","$11,365,917","$13,198,961.09","$10,488,262"
06/04/24,"$11,220,188","$10,660,535","$11,404,358","$12,834,837.53","$10,458,632"
06/05/24,"$11,351,511","$10,733,482","$11,579,227","$13,148,650.94","$10,529,160"
06/06/24,"$11,350,074","$10,729,363","$11,612,528","$12,997,037.31","$10,507,209"
06/07/24,"$11,340,230","$10,719,307","$11,607,771","$12,890,427.04","$10,475,135"
06/10/24,"$11,369,595","$10,743,938","$11,629,699","$13,067,119.86","$10,503,211"
06/11/24,"$11,400,827","$10,702,340","$11,892,376","$12,908,314.10","$10,464,397"
06/12/24,"$11,496,981","$10,732,696","$12,085,416","$13,086,459.84","$10,523,785"
06/13/24,"$11,522,314","$10,740,831","$12,063,341","$13,168,712.78","$10,498,078"
06/14/24,"$11,521,453","$10,724,251","$12,055,752","$12,957,614.14","$10,429,388"
06/17/24,"$11,610,283","$10,803,902","$12,198,764","$13,097,425.61","$10,502,008"
06/18/24,"$11,637,757","$10,840,580","$12,100,614","$13,214,266.14","$10,531,752"
06/20/24,"$11,610,051","$10,856,371","$12,055,234","$13,036,566.12","$10,534,893"
06/21/24,"$11,593,304","$10,854,028","$12,091,411","$13,023,044.17","$10,547,023"
06/24/24,"$11,559,681","$10,890,899","$12,040,495","$12,929,180.72","$10,596,432"
06/25/24,"$11,603,367","$10,835,292","$12,197,820","$13,025,469.82","$10,525,948"
06/26/24,"$11,622,461","$10,801,190","$12,364,694","$12,926,439.40","$10,483,710"
06/27/24,"$11,632,922","$10,805,916","$12,449,223","$13,066,332.94","$10,491,285"
06/28/24,"$11,588,572","$10,818,561","$12,240,614","$13,094,550.08","$10,501,936"
07/01/24,"$11,620,223","$10,771,732","$12,487,041","$13,169,446.50","$10,426,253"
07/02/24,"$11,692,094","$10,819,344","$12,674,002","$13,210,558.07","$10,468,191"
07/03/24,"$11,750,923","$10,830,986","$12,746,283","$13,310,495.93","$10,478,940"
07/05/24,"$11,816,373","$10,845,535","$13,016,621","$13,146,414.58","$10,470,339"
07/08/24,"$11,829,181","$10,853,706","$12,991,470","$13,212,557.35","$10,494,318"
07/09/24,"$11,839,783","$10,844,073","$12,989,570","$13,108,940.74","$10,481,420"